70.016896556458, -25.551275420961
69.746205531094, -25.632298585016, -4588.6625997619
69.48656311901, -25.740943282271, -4021.6636158469
69.23060357802, -25.818283575232, -4522.8711388441
68.871523646415, -25.941659756861, -4267.2848230264
68.43166235851, -25.95238350552, -3573.1504667243
68.18914530141, -25.942484850128, -3626.4360813994
67.832793707304, -25.942484850128, -3380.6894749168
67.417050180847, -25.959807497064, -3964.7914164044
67.105242536004, -26.058794050982, -3746.5514147211
66.996357326694, -26.110761991789, -4028.6288236823
66.696923001091, -26.234495184187, -3856.9517135487
66.518747204038, -26.311209763474, -3817.8613437641
66.350470062377, -26.400297662, -3770.5143980742
66.199515567651, -26.486910896679, -4784.9244181784
65.944625191312, -26.454740266655, -4581.832294538
65.801277996563, -26.434759647439, -4548.749240646
65.520205065684, -26.336995149741, -4569.9019413266
65.294124664759, -26.294223181999, -4788.0698230508
64.973334906691, -26.248396073703, -5025.395202366
64.582276915902, -26.135355873241, -5283.6602817467
64.133171254606, -25.994819407801, -5262.1158464243
63.769609528795, -25.909275472316, -4910.9851618946
63.464095473491, -25.707636195816, -3915.6908957878
63.1708019804, -25.478500654338, -4924.8987757707
62.99054868777, -25.356295032217, -4811.9387049062
62.755302865187, -25.331853907793, -5114.4035810912
62.541443026474, -25.331853907793, -5314.3890356153
62.4161822638, -25.371570734982, -5243.5463626546
62.394796279929, -25.515162340975, -5490.1783150487
62.306197203891, -25.637367963096, -5789.2505534529
62.078357663507, -25.92373706557, -5160.7943392444
61.793688057504, -26.10560931385, -5061.7219126083
61.493203473389, -26.172822970823, -5236.0331200974
61.161088933052, -26.366556452686, -5352.076037104
60.864558093465, -26.536567467383, -5382.6508558018
60.488952363322, -26.635411080578, -5530.3229426484
60.247773947124, -26.817283328858, -5667.2554789774
60.196375268263, -26.92403443111, -5797.7687499727
60.057994209789, -27.074276723167, -5987.864512563
59.85635323887, -27.161259102779, -5843.6298795446
59.642851034367, -27.224519015224, -5928.1117678434
59.350273939308, -27.295686416725, -5805.292370022
59.022113143499, -27.343131351059, -5830.6438600355
58.771746821395, -27.43278162195, -5727.2563234608
58.640559667583, -27.559736932091, -5857.2674372685
58.492445139085, -27.788256490344, -5876.5046581732
58.263925580832, -27.792488334016, -5357.2350380583
58.001551273208, -27.847502301743, -5547.8054227943
57.878827806738, -28.109876609367, -5768.4570679262
57.624917186457, -28.143731358738, -4752.6629233746
57.23135572502, -28.346859854963, -5258.2844826371
56.837794263584, -28.549988351189, -5316.2610900335
56.533101519246, -28.621929693602, -5270.873863425
56.346900397707, -28.664248130315, -5371.4322340497
56.143771901481, -28.748885003743, -5401.2562704153
55.70366015966, -28.994331936681, -5551.189363186
55.310098698224, -29.129750934165, -5333.318334435
55.138282408503, -29.284972092036, -4834.8901350537
54.918608840051, -29.521121178121, -5340.0520370224
54.693443432387, -29.762762103419, -4988.6382250436
54.336473883653, -30.06481326004, -4318.1068968453
54.221145260215, -30.240552114802, -4192.3200432165
53.880651229115, -30.498668557733, -4025.7896894324
53.551140876437, -30.888589141735, -3659.9217252217
53.216138684547, -31.399330188386, -4369.5000727229
52.749332351587, -31.833185486079, -4631.5717704524
52.617867212936, -32.621569515079, -5585.4845222042
52.353445324985, -32.743610386441, -4599.4266389715
51.743240968174, -32.784290676895, -4855.7361417685
51.105916417726, -32.838531064167, -4589.341728942
50.007548575466, -33.048712564847, -4380.1405900254
48.74645957139, -33.252114017117, -4154.5105078475
